timestamp [UTC],input_tokens,output_tokens,total_tokens
"10/14/2025, 11:00:53.071 PM",80,0,80
"10/30/2025, 10:03:45.464 PM",1176,0,1176
"10/30/2025, 10:03:45.764 PM",412,0,412
"10/30/2025, 10:03:45.784 PM",2495,0,2495
"10/30/2025, 10:04:14.817 PM",1231,0,1231
"10/30/2025, 10:04:15.093 PM",451,64,515
"10/30/2025, 10:10:50.228 PM",1176,0,1176
"10/30/2025, 10:10:50.556 PM",410,0,410
"10/30/2025, 10:10:50.725 PM",2493,0,2493
"10/30/2025, 6:26:53.652 PM",35,308,343
"10/30/2025, 6:48:08.837 PM",425,53,478
"10/30/2025, 6:51:48.974 PM",418,46,464
"10/30/2025, 6:55:19.347 PM",38,4152,4190
"10/30/2025, 7:34:57.964 PM",1176,0,1176
"10/30/2025, 7:34:59.697 PM",418,0,418
"10/30/2025, 7:35:00.717 PM",2493,0,2493
"10/30/2025, 7:35:31.397 PM",1238,0,1238
"10/30/2025, 7:35:32.703 PM",460,250,710
"10/30/2025, 8:05:27.445 PM",1193,0,1193
"10/30/2025, 8:05:27.910 PM",416,192,608
"10/30/2025, 8:06:06.771 PM",1193,0,1193
"10/30/2025, 8:06:07.831 PM",416,192,608
"10/30/2025, 8:10:39.551 PM",1193,0,1193
"10/30/2025, 8:10:40.800 PM",416,192,608
"10/30/2025, 8:10:50.084 PM",1197,0,1197
"10/30/2025, 8:10:51.406 PM",418,192,610
"10/30/2025, 8:11:23.032 PM",128,0,128
"10/30/2025, 8:12:09.509 PM",1176,0,1176
"10/30/2025, 8:12:09.784 PM",420,0,420
"10/30/2025, 8:12:09.904 PM",2495,0,2495
"10/30/2025, 8:12:57.580 PM",1231,0,1231
"10/30/2025, 8:12:58.258 PM",459,192,651
"10/30/2025, 8:16:37.371 PM",133,0,133
"10/30/2025, 8:17:26.582 PM",1207,0,1207
"10/30/2025, 8:17:27.224 PM",423,192,615
"10/30/2025, 9:13:49.789 PM",1207,0,1207
"10/30/2025, 9:13:50.796 PM",423,192,615
"10/30/2025, 9:14:08.779 PM",1207,0,1207
"10/30/2025, 9:14:09.880 PM",423,192,615
"10/30/2025, 9:43:13.262 PM",133,0,133
"10/30/2025, 9:44:17.878 PM",1207,0,1207
"10/30/2025, 9:44:18.519 PM",415,64,479
"10/30/2025, 9:46:13.972 PM",415,64,479
"10/30/2025, 9:46:15.137 PM",1207,0,1207
"10/30/2025, 9:46:44.074 PM",1207,0,1207
"10/30/2025, 9:46:44.631 PM",415,64,479
"10/30/2025, 9:47:29.665 PM",1193,0,1193
"10/30/2025, 9:47:29.872 PM",408,64,472
"11/4/2025, 2:03:55.058 AM",24852,834,25686
"11/4/2025, 2:03:55.146 AM",22980,1048,24028
"11/4/2025, 2:03:57.479 AM",15607,1208,16815
"11/4/2025, 2:03:59.546 AM",15209,2343,17552
"11/4/2025, 2:03:59.991 AM",31019,1343,32362
"11/4/2025, 2:04:42.689 AM",912,4152,5064
"11/4/2025, 2:04:42.883 AM",754,4152,4906
"11/4/2025, 2:04:43.054 AM",1056,4153,5209
"11/4/2025, 2:05:13.628 AM",754,4152,4906
"11/4/2025, 2:05:13.839 AM",912,4152,5064
"11/4/2025, 2:05:14.054 AM",1056,4153,5209
"11/4/2025, 2:05:31.455 AM",751,4152,4903
"11/4/2025, 2:05:31.686 AM",537,4152,4689
"11/4/2025, 2:05:32.005 AM",912,4152,5064
"11/4/2025, 2:05:32.205 AM",2046,4153,6199
"11/4/2025, 2:05:32.299 AM",1046,4153,5199
"11/4/2025, 2:11:10.797 AM",2046,4153,6199
"11/4/2025, 2:11:10.815 AM",751,4152,4903
"11/4/2025, 2:11:10.926 AM",912,4152,5064
"11/4/2025, 2:11:10.929 AM",537,4152,4689
"11/4/2025, 2:11:11.649 AM",1046,4153,5199
"11/4/2025, 2:21:39.159 AM",410,0,410
"11/4/2025, 2:21:40.247 AM",1176,0,1176
"11/4/2025, 2:21:40.454 AM",2493,0,2493
"11/4/2025, 2:23:08.214 AM",1234,0,1234
"11/4/2025, 2:23:09.690 AM",450,64,514
"11/4/2025, 2:28:46.411 AM",2493,0,2493
"11/4/2025, 2:28:46.641 AM",1176,0,1176
"11/4/2025, 2:28:47.737 AM",421,0,421
"11/4/2025, 2:29:00.935 AM",1234,0,1234
"11/4/2025, 2:29:01.814 AM",15,16707,16722
"11/4/2025, 2:29:01.814 AM",13,16665,16678
"11/4/2025, 2:29:02.145 AM",16,16706,16722
"11/4/2025, 2:29:03.428 AM",8023,0,8023
"11/4/2025, 2:29:03.520 AM",462,0,462
"11/4/2025, 2:29:27.492 AM",1207,0,1207
"11/4/2025, 2:29:28.624 AM",13,16665,16678
