timestamp [UTC],input_tokens,output_tokens,total_tokens,operation,model,deployment,location,duration_ms,stream_type,request_bytes,response_bytes
"10/30/2025, 10:03:45.464 PM",1176,0,1176,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,224,Streaming,4704,0
"10/30/2025, 10:03:45.764 PM",412,0,412,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,913,Streaming,1649,0
"10/30/2025, 10:03:45.784 PM",2495,0,2495,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,498,Streaming,9982,0
"10/30/2025, 10:04:14.817 PM",1231,0,1231,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,479,Streaming,4927,0
"10/30/2025, 10:10:50.228 PM",1176,0,1176,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,196,Streaming,4704,0
"10/30/2025, 10:10:50.556 PM",410,0,410,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,807,Streaming,1641,0
"10/30/2025, 10:10:50.725 PM",2493,0,2493,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,368,Streaming,9974,0
"10/30/2025, 6:26:53.652 PM",35,308,343,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,307,Non-Streaming,142,1234
"10/30/2025, 6:55:19.347 PM",38,0,38,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,58,Non-Streaming,155,16608
"10/30/2025, 7:34:57.964 PM",1176,0,1176,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,223,Streaming,4704,0
"10/30/2025, 7:34:59.697 PM",418,0,418,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,1046,Streaming,1672,0
"10/30/2025, 7:35:00.717 PM",2493,0,2493,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,645,Streaming,9974,0
"10/30/2025, 7:35:31.397 PM",1238,0,1238,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,275,Streaming,4955,0
"10/30/2025, 8:05:27.445 PM",1193,0,1193,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,275,Streaming,4774,0
"10/30/2025, 8:06:06.771 PM",1193,0,1193,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,197,Streaming,4774,0
"10/30/2025, 8:10:39.551 PM",1193,0,1193,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,279,Streaming,4774,0
"10/30/2025, 8:10:50.084 PM",1197,0,1197,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,146,Streaming,4788,0
"10/30/2025, 8:11:23.032 PM",128,0,128,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,133,Streaming,514,0
"10/30/2025, 8:12:09.509 PM",1176,0,1176,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,192,Streaming,4704,0
"10/30/2025, 8:12:09.784 PM",420,0,420,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,746,Streaming,1680,0
"10/30/2025, 8:12:09.904 PM",2495,0,2495,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,349,Streaming,9982,0
"10/30/2025, 8:12:57.580 PM",1231,0,1231,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,207,Streaming,4927,0
"10/30/2025, 8:16:37.371 PM",133,0,133,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,132,Streaming,534,0
"10/30/2025, 8:17:26.582 PM",1207,0,1207,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,186,Streaming,4828,0
"10/30/2025, 9:13:49.789 PM",1207,0,1207,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,174,Streaming,4828,0
"10/30/2025, 9:14:08.779 PM",1207,0,1207,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,150,Streaming,4828,0
"10/30/2025, 9:43:13.262 PM",133,0,133,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,294,Streaming,534,0
"10/30/2025, 9:44:17.878 PM",1207,0,1207,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,199,Streaming,4828,0
"10/30/2025, 9:46:15.137 PM",1207,0,1207,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,156,Streaming,4828,0
"10/30/2025, 9:46:44.074 PM",1207,0,1207,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,206,Streaming,4828,0
"10/30/2025, 9:47:29.665 PM",1193,0,1193,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,143,Streaming,4772,0
"11/4/2025, 2:03:55.058 AM",24852,834,25686,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,6886,Non-Streaming,99409,3336
"11/4/2025, 2:03:55.146 AM",22980,1048,24028,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,6957,Non-Streaming,91921,4193
"11/4/2025, 2:03:57.479 AM",15607,1208,16815,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,9140,Non-Streaming,62429,4834
"11/4/2025, 2:03:59.546 AM",15209,2343,17552,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,11479,Non-Streaming,60837,9374
"11/4/2025, 2:03:59.991 AM",31019,1343,32362,ChatCompletions_Create,gpt-4o,gpt-4o,eastus,11830,Non-Streaming,124077,5374
"11/4/2025, 2:04:42.689 AM",912,0,912,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,97,Non-Streaming,3650,16610
"11/4/2025, 2:04:42.883 AM",754,0,754,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,97,Non-Streaming,3017,16610
"11/4/2025, 2:04:43.054 AM",1056,0,1056,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,116,Non-Streaming,4227,16612
"11/4/2025, 2:05:13.628 AM",754,0,754,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,100,Non-Streaming,3017,16610
"11/4/2025, 2:05:13.839 AM",912,0,912,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,89,Non-Streaming,3650,16610
"11/4/2025, 2:05:14.054 AM",1056,0,1056,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,122,Non-Streaming,4227,16612
"11/4/2025, 2:05:31.455 AM",751,0,751,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,113,Non-Streaming,3007,16610
"11/4/2025, 2:05:31.686 AM",537,0,537,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,89,Non-Streaming,2150,16610
"11/4/2025, 2:05:32.005 AM",912,0,912,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,129,Non-Streaming,3648,16610
"11/4/2025, 2:05:32.205 AM",2046,0,2046,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,199,Non-Streaming,8187,16612
"11/4/2025, 2:05:32.299 AM",1046,0,1046,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,170,Non-Streaming,4187,16612
"11/4/2025, 2:11:10.797 AM",2046,0,2046,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,129,Non-Streaming,8187,16612
"11/4/2025, 2:11:10.815 AM",751,0,751,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,93,Non-Streaming,3007,16610
"11/4/2025, 2:11:10.926 AM",912,0,912,Embeddings_Create,text-embedding-3-large,text-embedding-3-large,eastus,105,Non-Streaming,3648,16610
